Rk;Player;Nation;Pos;Squad;Age;Born;MP;Min;Mn/MP;Min%;90s;Starts;Mn/Start;Compl;Subs;Mn/Sub;unSub;PPM;onG;onGA;+/-;+/-90;On-Off;onxG;onxGA;xG+/-;xG+/-90;On-Off_2;Matches;Curr_Date
295;Kleiton;br BRA;FW;Juventude;25-026;1999;1;29;29;8.1;0.3;0;;0;1;29;3;1.00;0;1;-1;-3.10;-2.83;0.9;0.5;+0.5;+1.40;+2.13;Matches;2024-05-18
296;Gabriel Knesowitsch;br BRA;DF;Cuiabá;20-214;2003;2;160;80;44.4;1.8;1;90;1;1;70;2;0.00;0;3;-3;-1.69;+1.46;1.0;2.4;-1.4;-0.81;+0.44;Matches;2024-05-18
297;Maurício Kozlinski;br BRA;GK;Fortaleza;32-336;1991;0;;;;;0;;0;0;;1;;;;;;;;;;;;Matches;2024-05-18
298;Benjamín Kuscevic;cl CHI;DF;Fortaleza;28-017;1996;2;180;90;40.0;2.0;2;90;2;0;;0;2.00;3;2;+1;+0.50;+0.50;1.0;1.1;-0.1;-0.06;-0.14;Matches;2024-05-18
299;Derik Lacerda;br BRA;MF,FW;Cuiabá;24-235;1999;4;245;61;68.1;2.7;3;74;0;1;24;0;0.00;0;8;-8;-2.94;-1.37;0.8;5.2;-4.5;-1.64;-1.83;Matches;2024-05-18
300;Ignacio Laquintana;uy URU;FW,MF;Red Bull Bragantino;25-108;1999;4;165;41;30.6;1.8;2;68;1;2;15;2;2.00;2;2;0;0.00;-0.24;1.4;2.6;-1.2;-0.65;+0.07;Matches;2024-05-18
301;Lázaro;br BRA;FW,MF;Palmeiras;22-068;2002;6;232;39;43.0;2.6;2;60;0;4;28;0;1.33;1;2;-1;-0.39;-0.68;3.2;2.1;+1.1;+0.43;+0.12;Matches;2024-05-18
302;Mauricio Lemos;uy URU;DF;Atlético Mineiro;28-143;1995;4;247;62;54.9;2.7;3;75;2;1;22;1;2.00;2;1;+1;+0.36;-1.85;2.1;1.3;+0.9;+0.31;-0.26;Matches;2024-05-18
303;Willean Lepo;br BRA;DF;Vitória;27-124;1997;3;74;25;16.4;0.8;2;29;0;1;17;1;0.33;0;0;0;0.00;+1.44;0.4;0.6;-0.2;-0.30;+0.57;Matches;2024-05-18
304;Lima;br BRA;MF;Fluminense;27-343;1996;6;410;68;75.9;4.6;5;79;3;1;17;0;0.83;6;8;-2;-0.44;+0.95;4.9;6.2;-1.3;-0.28;+0.33;Matches;2024-05-18
305;Leonardo Linck;br BRA;GK;Ath Paranaense;23-077;2001;0;;;;;0;;0;0;;6;;;;;;;;;;;;Matches;2024-05-18
306;Lincoln;br BRA;MF;Red Bull Bragantino;25-194;1998;3;83;28;15.4;0.9;0;;0;3;28;0;0.67;0;1;-1;-1.08;-1.48;0.4;1.8;-1.4;-1.54;-0.99;Matches;2024-05-18
307;Marcelo Lomba;br BRA;GK;Palmeiras;37-153;1986;0;;;;;0;;0;0;;6;;;;;;;;;;;;Matches;2024-05-18
308;Gabriel Lopes;br BRA;MF;Red Bull Bragantino;17-312;2006;0;;;;;0;;0;0;;1;;;;;;;;;;;;Matches;2024-05-18
309;José López;ar ARG;FW,DF;Palmeiras;23-165;2000;5;243;49;45.0;2.7;3;62;0;2;29;1;1.00;0;2;-2;-0.74;-1.35;2.5;1.7;+0.8;+0.29;-0.14;Matches;2024-05-18
310;Lorran;br BRA;MF,FW;Flamengo;17-320;2006;4;125;31;23.1;1.4;1;87;0;3;13;2;1.75;4;1;+3;+2.16;+2.38;3.3;2.4;+0.9;+0.63;+0.58;Matches;2024-05-18
311;Vágner Love;br BRA;MF;Atl Goianiense;39-343;1984;2;35;18;7.8;0.4;0;;0;2;18;2;0.00;1;2;-1;-2.57;-1.49;0.6;0.1;+0.5;+1.37;+1.78;Matches;2024-05-18
312;Lucão;br BRA;GK;Red Bull Bragantino;23-083;2001;2;135;68;25.0;1.5;1;90;1;1;45;4;2.00;4;2;+2;+1.33;+1.56;1.7;2.2;-0.6;-0.37;+0.45;Matches;2024-05-18
313;Ayrton Lucas;br BRA;DF;Flamengo;26-335;1997;6;517;86;95.7;5.7;6;86;4;0;;0;1.83;6;4;+2;+0.35;+0.35;6.3;5.8;+0.5;+0.09;-2.17;Matches;2024-05-18
314;Jean Lucas;br BRA;MF;Bahia;25-332;1998;6;540;90;100.0;6.0;6;90;6;0;;0;2.17;9;6;+3;+0.50;;8.9;5.3;+3.6;+0.60;;Matches;2024-05-18
315;João Lucas;br BRA;DF;Juventude;26-071;1998;4;360;90;100.0;4.0;4;90;4;0;;0;1.25;5;7;-2;-0.50;;3.6;5.8;-2.2;-0.55;;Matches;2024-05-18
316;Patrick de Lucca;br BRA;MF;Vasco da Gama;24-078;2000;0;;;;;0;;0;0;;2;;;;;;;;;;;;Matches;2024-05-18
317;Luciano;br BRA;MF,FW;São Paulo;31-001;1993;6;511;85;94.6;5.7;6;85;2;0;;0;1.67;9;5;+4;+0.70;+0.70;8.2;3.4;+4.8;+0.85;+0.78;Matches;2024-05-18
318;Jan Lucumí González;co COL;FW;Fluminense;20-098;2004;0;;;;;0;;0;0;;6;;;;;;;;;;;;Matches;2024-05-18
319;André Luis;br BRA;MF,FW;Cuiabá;27-028;1997;4;87;22;24.2;1.0;0;;0;4;22;0;0.00;0;2;-2;-2.07;+0.57;0.6;1.5;-0.9;-0.95;+0.14;Matches;2024-05-18
320;Victor Luis;br BRA;DF;Vasco da Gama;30-331;1993;0;;;;;0;;0;0;;6;;;;;;;;;;;;Matches;2024-05-18
321;David Luiz;br BRA;DF,MF;Flamengo;37-027;1987;0;;;;;0;;0;0;;6;;;;;;;;;;;;Matches;2024-05-18
322;Machado;br BRA;MF;Cruzeiro;28-120;1996;1;45;45;10.0;0.5;1;45;0;0;;3;0.00;0;3;-3;-6.00;-6.89;0.3;1.0;-0.7;-1.37;-1.41;Matches;2024-05-18
323;Imanol Machuca;ar ARG;MF,FW;Fortaleza;24-125;2000;5;140;28;31.1;1.6;1;63;0;4;19;0;1.40;3;1;+2;+1.29;+1.58;1.6;1.1;+0.5;+0.31;+0.41;Matches;2024-05-18
324;Guilherme Madruga;br BRA;MF;Cuiabá;23-190;2000;1;24;24;6.7;0.3;0;;0;1;24;2;0.00;0;1;-1;-3.75;-1.34;0.2;0.8;-0.6;-2.16;-1.19;Matches;2024-05-18
325;Mádson;br BRA;DF;Ath Paranaense;32-127;1992;5;139;28;25.7;1.5;1;45;0;4;24;1;2.00;2;1;+1;+0.65;-0.47;1.3;2.8;-1.5;-0.94;-1.48;Matches;2024-05-18
326;Maguinho;br BRA;DF,FW;Atl Goianiense;31-134;1993;3;180;60;40.0;2.0;2;89;0;1;2;1;0.33;2;2;0;0.00;+2.00;2.0;2.2;-0.2;-0.11;+0.28;Matches;2024-05-18
327;Pablo Maia;br BRA;MF;São Paulo;22-130;2002;3;259;86;48.0;2.9;3;86;1;0;;0;1.00;5;4;+1;+0.35;-0.61;2.7;1.7;+1.0;+0.34;-0.89;Matches;2024-05-18
328;Thiago Maia;br BRA;MF;Internacional;27-057;1997;4;244;61;67.8;2.7;3;71;1;1;30;0;1.75;2;2;0;0.00;-0.78;4.2;2.1;+2.1;+0.76;-0.15;Matches;2024-05-18
329;Walisson Maia;br BRA;DF;Criciúma;32-272;1991;3;201;67;74.4;2.2;2;89;1;1;24;0;1.67;3;2;+1;+0.45;-3.47;1.9;1.9;+0.1;+0.02;+1.41;Matches;2024-05-18
330;Maicon;br BRA;DF;Vasco da Gama;35-248;1988;5;360;72;66.7;4.0;3;90;3;2;45;1;0.60;4;8;-4;-1.00;-0.50;5.3;6.7;-1.4;-0.35;-0.62;Matches;2024-05-18
331;Hugo Mallo;es ESP;DF;Internacional;32-332;1991;1;76;76;21.1;0.8;1;76;0;0;;3;0.00;0;1;-1;-1.18;-1.82;1.2;0.8;+0.4;+0.42;-0.49;Matches;2024-05-18
